p,d,q,aic,test_mape
7.0,5.0,9.0,1231.530907656722,768.661842842454
3.0,20.0,1.0,3389.9603633176903,1.8769379437006712e+18
2.0,10.0,10.0,1790.1324208969413,13438371.008219814
9.0,2.0,3.0,1144.4558610062218,11.55220856257522
9.0,3.0,8.0,1159.1044598170881,19.95567774392441
12.0,3.0,10.0,1119.2157962843237,20.52713750260522
1.0,10.0,8.0,2070.9461325211823,263157909.91233182
7.0,3.0,1.0,1180.6412807518727,92.98966614389713
2.0,15.0,0.0,2873.1936333320914,246682770835112.0
2.0,8.0,8.0,1516.1203480655013,282231.60008195706
2.0,8.0,3.0,1649.666722594996,296695.98689187213
2.0,7.0,4.0,1506.1692469345783,156560.30518597487
4.0,8.0,20.0,1438.8590099502464,1967184.027717489
0.0,7.0,9.0,1514.9881733909046,172442.65648675163
1.0,1.0,10.0,1113.766252809176,32.546824130912974
10.0,1.0,9.0,1148.4384523630133,11.060079806512665
5.0,10.0,15.0,1606.2672349656164,12332375.113091044
20.0,12.0,5.0,2648.6827686455267,2.482348739482529e+41
12.0,10.0,4.0,1803.9761713740734,886390611.6625085
1.0,10.0,6.0,1994.1729439541325,41756260.19955755
10.0,10.0,0.0,1708.1898802851551,826700668.6683216
2.0,3.0,0.0,1315.621226329744,2903.7889403789623
0.0,5.0,4.0,1354.6024707999443,7389.789750104148
15.0,7.0,20.0,1172.2025753905632,20722.322244482784
2.0,0.0,4.0,1239.070798970834,19.350700153305336
5.0,8.0,5.0,1545.3297063790365,37940.10868372624
10.0,7.0,12.0,1296.2633010064555,41111.08003490952
2.0,6.0,15.0,1238.7756298060644,8612.793725501559
9.0,9.0,5.0,1710.7829499243767,116635684.19242802
9.0,7.0,6.0,1358.2264747838367,69877.95212835149
3.0,5.0,0.0,1485.0383171069097,9798.5761021329
0.0,15.0,3.0,2924.5340050524933,1684281414230.5034
12.0,3.0,0.0,1140.0052566047789,597.8764873162746
8.0,5.0,4.0,1261.3549721535132,3309.447659013046
3.0,9.0,0.0,1954.74610791137,191790705.50525212
2.0,20.0,5.0,3164.1589423223277,2.349255843738611e+16
12.0,15.0,9.0,2189.3612153106856,4372395578297.5356
4.0,1.0,4.0,1174.8183648518675,7.576425092680032
2.0,0.0,10.0,1208.8474335344645,20.80576353909605
9.0,20.0,8.0,2785.6042292861475,7243334506303823.0
15.0,7.0,3.0,1579.80246707213,3507717.0351261906
8.0,7.0,0.0,1504.1895576851296,708460.4930621337
6.0,2.0,3.0,1167.9606686738393,7.961948670893302
6.0,10.0,8.0,1626.7776519837362,20245055.615861937
3.0,7.0,10.0,1392.2756452753329,161112.6019062743
0.0,12.0,0.0,3338.156132907975,1669232043505.9683
3.0,0.0,6.0,1227.3541717818587,20.16677060790534
12.0,5.0,1.0,1231.7186587866631,4176.878140134921
15.0,0.0,7.0,1188.62897207253,21.95540181155142
2.0,2.0,15.0,1083.9240194870592,46.53979696934819
7.0,20.0,1.0,5998.107361084086,6.0283963809662014e+22
8.0,3.0,15.0,1105.6153759562314,264.37134330468626
12.0,1.0,4.0,1119.2789222446436,11.06053015917815
5.0,2.0,5.0,1162.8529947342552,7.245784325852451
3.0,12.0,8.0,2087.1274469976706,70037174131.23868
5.0,15.0,20.0,2591.556703173555,10715877650686.451
7.0,9.0,12.0,1601.7147499445198,30726551.685983084
6.0,0.0,9.0,1212.942992366818,19.239479003347157
0.0,1.0,12.0,1106.0166307385675,27.273156940590944
6.0,7.0,3.0,1459.7371260534146,117743.69904354333
0.0,7.0,8.0,1518.06080816022,34927.1081086017
1.0,9.0,15.0,1758.290902651639,3889757.1627688725
12.0,12.0,20.0,1829.2863674525217,3446090912.0060325
3.0,2.0,6.0,1159.814944700624,8.057393184090088
15.0,3.0,15.0,1092.3439008157013,26.96887232496653
12.0,2.0,3.0,1114.0460288967697,15.664469763495203
8.0,15.0,15.0,2281.2256728826414,3697238301998.063
7.0,12.0,10.0,1930.0696241428059,43200111939.42552
5.0,1.0,6.0,1163.1146855722106,9.431275051903542
5.0,0.0,7.0,1236.8405441707023,20.496289190374732
9.0,4.0,15.0,1128.583883652876,65.9823875961125
4.0,5.0,0.0,1451.5690598774054,49948.217094605425
6.0,3.0,8.0,1158.2284777831817,24.06369332827448
7.0,15.0,6.0,2400.8532931378822,20476326439952.0
12.0,6.0,20.0,1129.1692372798643,2757.9363591763886
5.0,8.0,5.0,1545.3297063790365,37940.10868372624
9.0,0.0,0.0,1203.435764441425,19.596502257653096
2.0,1.0,3.0,1160.1896788067756,8.376354617260857
0.0,15.0,5.0,3010.3029852476348,291322914058.5006
10.0,6.0,6.0,1278.7502803312955,16703.236331930293
1.0,5.0,4.0,1336.7170724301336,6290.179993431237
10.0,3.0,4.0,1160.725865002536,72.94808193303008
6.0,20.0,1.0,4822.575755867621,7.138773870622749e+18
0.0,10.0,4.0,2115.653134471793,227829612.8087543
2.0,3.0,2.0,1221.5235155216294,17.159705919451383
7.0,5.0,6.0,1258.0936560647306,932.5617883835495
3.0,8.0,8.0,1493.68473671867,91794.6638443993
20.0,8.0,9.0,1454.4509696983027,24136878.641271666
0.0,9.0,15.0,1857.5618151566214,2139568.1239916235
